Code,Weight,Halt
A015260,0.000022,0
A011300,0.000022,1
A153360,0.000021,0
A001210,0.000021,0
A011230,0.000021,0
A018500,0.00002,0
A004920,0.00002,0
A010420,0.00002,0
A084870,0.000019,0
A019490,0.000019,0
A008500,0.000019,0
A012600,0.000018,1
A001770,0.000018,0
A001420,0.000018,0
A088790,0.000018,0
A204210,0.000018,0
A071950,0.000016,0
A145210,0.000016,0
A033250,0.000016,0
A005030,0.000016,0
A140910,0.000016,0
A030790,0.000015,0
A096300,0.000011,0
A010580,0.00001,1
